Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
readCreatedUserJson = slurper.parseText(readCreatedUserResponse.getResponseBodyContent()),Chrome 113.0.0.0,,,2023-06-02 12:06:52,2023-06-02 12:06:52,0.000s,PASSED
username2 = username,Chrome 113.0.0.0,,,2023-06-02 12:06:52,2023-06-02 12:06:52,0.001s,PASSED
println(readCreatedUserJson),Chrome 113.0.0.0,,,2023-06-02 12:06:52,2023-06-02 12:06:52,0.001s,PASSED
"newusername1 = ""JamesBlunt""",Chrome 113.0.0.0,,,2023-06-02 12:06:52,2023-06-02 12:06:52,0.001s,PASSED
"sendRequest(findTestObject(""Update Username"", [""username"":username2, ""newusername"":newusername1]))",Chrome 113.0.0.0,,,2023-06-02 12:06:52,2023-06-02 12:06:54,2.019s,PASSED
"readCreatedUserResponseupdated = sendRequest(findTestObject(""Read created user"", [""username"":newusername1]))",Chrome 113.0.0.0,,,2023-06-02 12:06:54,2023-06-02 12:06:57,3.270s,PASSED
readCreatedUserJsonafterupdated = slurper.parseText(readCreatedUserResponseupdated.getResponseBodyContent()),Chrome 113.0.0.0,,,2023-06-02 12:06:57,2023-06-02 12:06:57,0.001s,PASSED
println(readCreatedUserJsonafterupdated),Chrome 113.0.0.0,,,2023-06-02 12:06:57,2023-06-02 12:06:57,0.001s,PASSED
"sendRequest(findTestObject(""Delete User"", [""username"":newusername1]))",Chrome 113.0.0.0,,,2023-06-02 12:06:57,2023-06-02 12:06:59,1.167s,PASSED
"readCreatedUserResponsedeleted = sendRequest(findTestObject(""Read created user"", [""username"":newusername1]))",Chrome 113.0.0.0,,,2023-06-02 12:06:59,2023-06-02 12:07:02,3.152s,PASSED
"verifyResponseStatusCode(readCreatedUserResponsedeleted, 404)",Chrome 113.0.0.0,,,2023-06-02 12:07:02,2023-06-02 12:07:02,0.003s,PASSED
